chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)
100021136	0.0383505382348361	0.267513907269932	0.40678658672494	0.737208621597118
100000882	0.904042598377663	0.626526200716227	0.393588808333414	0.620251200984155
409	0.0915271188962544	0.175196372589879	0.424685875277743	0.414340031644971
100002254	0.697441423704821	0.0484900418981855	0.261904199425052	0.62965497683043
361	0.00300159839849578	0.069274269807366	0.286145189854554	0.614576340434015
100019975	0.614837550221842	0.688425192905728	0.378914897763502	0.667356341476769
100000257	0.00064933979373811	0.0184294195003851	0.384565459998696	0.581987564251142
100001232	0.912715218419873	0.871278244837662	0.395574961556267	0.640104981275188
100001948	0.491620740608301	0.446834418478297	0.389254018213849	0.535371832447721
100001073	0.579007222367187	0.620817166316615	0.471097071594894	0.564119400689224
100015637	0.98387183197866	0.42471511342723	0.404520216896673	0.643671795284551
100006360	0.561743946650889	0.667188983266605	0.357064842721492	0.719010920593221
1488	0.414271819423758	0.52018873535183	0.387928100680412	0.617185778546553
100002253	0.710102124014429	0.907770531761107	0.373346029390728	0.662231074700359
1023	0.995707674778734	0.714151402979113	0.371792307288041	0.63423049102868
100004284	0.706433147814448	0.816765141069615	0.370504915693673	0.656614963929504
100001251	0.673134098715976	0.991729733799106	0.376559283166848	0.649338410339275
362	0.708972618437175	0.501740504881645	0.343702216335338	0.644144676189964
100006620	0.760627076865899	0.885921083753256	0.376758055921146	0.653520028012323
111	0.256653756469823	0.142955748996145	0.329821980536596	0.615663560554449
100009045	0.51622235820639	0.249005492734131	0.319762758464241	0.812031424490668
100002927	0.691963895309436	0.853663771712832	0.370121474967573	0.669753013126342
100015641	0.778418057320609	0.915618750395365	0.371616540132882	0.657026377160938
1114	0.086326796914838	0.892109960671401	0.371792453926879	0.655555816851545
100020409	0.43684513567683	0.423404389555028	0.37013912281131	0.539521080344286
158	0.130871323916622	0.230897860283254	0.477094239000047	0.677589002554378
1224	0.0431904480405015	0.184102592516048	0.30159219988595	0.687624272233561
100001620	0.385280246164993	0.357130723653946	0.331950589884249	0.650693731965221
100020893	0.321278449805842	0.0695097799122956	0.340648201662845	0.38962162829134
100002458	0.691535711934372	0.594481441618117	0.41756054547952	0.60114557243313
100001112	0.909253157174132	0.94242396749098	0.375135110876774	0.645504287839948
100002953	0.492124324275914	0.875029227269059	0.372848691351142	0.657878842787011
1141	0.50937188483231	0.0680643170736943	0.451571930389323	0.486223394495076
100015834	0.405594933675495	0.952957087493183	0.379741133532481	0.653845069832978
100004561	0.504765743589604	0.808715527184598	0.384475424277979	0.64330119752871
100020497	0.650940224375003	0.85073299522571	0.36666853844757	0.665476345327554
498	0.0426612210238902	0.284906780956444	0.376797242488652	0.728848321575419
100006051	0.797953818134452	0.809553936918183	0.382712621794347	0.645010482199916
1668	0.740037081751806	0.49306252733074	0.372453893875231	0.585220898542273
100004523	0.50585989317678	0.921271700918148	0.381873783059527	0.64245922865192
100001604	0.238184474328032	0.526942039605696	0.372169117403693	0.69409907444093
100001002	0.186291576652644	0.539007975516585	0.391263189996623	0.636594761199016
100001987	0.0925908857593562	0.265272261569255	0.952711464548258	0.510254414616444
100002462	0.722541719345159	0.379694111392438	0.430117998266473	0.543596764084955
466	0.601776254695774	0.0739496104186515	0.40599584109775	0.627706940941482
100000665	0.878523523121117	0.443061723896386	0.416671215392392	0.596176760875016
445	0.962778251444471	0.459901979899831	0.406853313629153	0.697074389505765
