chemID	simpleLRM_Fstatistics	multiLRM(chem_sig)	multiLRM(sex_sig)	multiLRM(age_sig)	chem_coef
100021136	0.0248930553821545	0.236918294968509	0.308157157175944	0.764357754651653	-0.299567247307923
100000882	0.827806900436531	0.659358923051051	0.285712662920769	0.645413118330891	0.076335562416845
409	0.0820087567850801	0.170268040735473	0.316617410191587	0.428983775879896	0.603829902004337
100002254	0.686847513807597	0.0434169661599793	0.185550884955148	0.651716341800092	0.070027903244766
361	0.007599052152201	0.1018319606107	0.196377434843528	0.644634845873616	0.105169339558203
100019975	0.548649363186438	0.712417860340117	0.275472382761043	0.68876023333878	0.032890533322147
100000257	0.000643060914244584	0.0191681731248153	0.276788499440445	0.60495161579164	0.396319613227229
100001232	0.970978785347489	0.946429560944916	0.282969577164242	0.668539561524953	0.00783998287511688
100001948	0.367915407301092	0.378438948089836	0.295806916859923	0.535882510998572	0.367668598599783
100001073	0.604126441934204	0.672893997054024	0.343876909478266	0.599072285719765	-0.045546810639288
100015637	0.932456831663132	0.455208259756907	0.293319430429328	0.66640504059426	0.148674593366698
100006360	0.623348140202882	0.692745042271777	0.260048934255864	0.736644584198173	-0.0083638223485892
1488	0.541314988016041	0.594567848111809	0.277678646515074	0.647162504112741	0.14876556437248
100002253	0.843101516050832	0.975107985876786	0.275218121888363	0.676970012875924	-0.00251859255754032
1023	0.961955623257365	0.700121841841299	0.27152877361588	0.655084790997724	0.182885403997025
100004284	0.679131041309375	0.816853184829897	0.269918949966717	0.678996602876556	-0.000737673519986069
100001251	0.652981612501032	0.975662835776382	0.274338186939488	0.671069641275181	-0.00390267279511751
362	0.723112680275795	0.474976159625608	0.248420671517276	0.665523391371666	-0.0805306851659644
100006620	0.764368918770993	0.879792832262072	0.275153070568905	0.675941251145002	0.0238294088670376
111	0.361737424549988	0.16647218971294	0.231408342466869	0.64333964463767	0.279563368887912
100009045	0.641582945532989	0.27508855746103	0.22743491475218	0.827806203929841	-0.141422084326579
100002927	0.725254295254856	0.864293758011964	0.270026179747884	0.690709285961498	-0.0190367857877833
100015641	0.768722267593087	0.894211976413521	0.269825713279313	0.680945384776754	-0.0241733321619761
1114	0.109133178099097	0.944873006092864	0.27247326907218	0.67514767369258	-0.00824901524057752
100020409	0.355713482107852	0.371053763469605	0.275289776048339	0.545235831881685	0.105172528941862
