	temp_0001	temp_0002	temp_0003	temp_0004	temp_0005	temp_0006	temp_0007	temp_0008	temp_0009	temp_0010	temp_0011	temp_0012	temp_0013	temp_0014	temp_0015	temp_0016	temp_0017	temp_0018	temp_0019	temp_0020	temp_0021	temp_0022	temp_0023	temp_0024	temp_0025	temp_0026	temp_0027	temp_0028	temp_0029	temp_0030	temp_0031	temp_0032	temp_0033	temp_0034	temp_0035	temp_0036	temp_0037	temp_0038	temp_0039	temp_0040	temp_0041	temp_0042	temp_0043	temp_0044	temp_0045	temp_0046	temp_0047	temp_0048	temp_0049	temp_0050	temp_0051	temp_0052	temp_0053	temp_0054	temp_0055	temp_0056	temp_0057	temp_0058	temp_0059	temp_0060	temp_0061	temp_0062	temp_0063	temp_0064	temp_0065	temp_0066	temp_0067	temp_0068	temp_0069	temp_0070	temp_0071	temp_0072	temp_0073	temp_0074	temp_0075	temp_0076	temp_0079	temp_0080	temp_0081	temp_0082	temp_0083	temp_0084	temp_0085	temp_0086	temp_0087	temp_0088	temp_0089	temp_0090	temp_0091	temp_0092	temp_0093	temp_0094	temp_0095	temp_0096	temp_0097	temp_0098	temp_0099	temp_0100	temp_0101	temp_0102	temp_0103	temp_0104	temp_0105	temp_0106	temp_0107	temp_0108	temp_0109	temp_0110	temp_0111	temp_0112	temp_0113	temp_0114	temp_0115	temp_0116	temp_0117	temp_0118	temp_0119	temp_0120	temp_0121	temp_0122	temp_0123	temp_0124	temp_0125	temp_0126	temp_0127	temp_0128
DAS28	1.63195	2.77995	2.58632	1.49195	1.78595	2.03795	3.03363	4.0719	1.70967	2.23112	3.22503	3.78125	2.07995	1.60395	2.3646	4.17528	2.03498	2.02237	1.61795	1.57595	4.16226	4.24992	1.56195	1.47795	4.82866	2.86797	5.25838	3.78535	1.98407	2.34396	3.08191	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	3.91157	3.75613	3.99752	2.30538	3.85795	2.17795	3.43912	3.01191	5.37692	5.46738	4.01303	6.09333	3.09699	3.06232	1.77195	2.06595	2.04747	2.24335	2.77789	5.4535	3.7535	3.33789	1.44995	1.47795	3.03195	3.37591	2.3806	1.60057	2.85895	3.21367	1.84195	1.81395	1.56195	1.63195	2.35995	4.66454	3.75212	4.08194	3.03167	4.29387	3.19995	1.44995	1.71595	1.58995	4.64151	1.89795	3.9924	4.2695	3.94349	3.52084	3.64795	4.15565	4.05367	5.01995	3.66593	2.74193	3.72972	2.60693	2.33385	1.56195	7.00031	5.71524	1.47795	1.77195	1.95338	2.0925	2.9379	5.88191	5.09591	3.76766	4.96479	4.96276	1.50107	1.20703	3.4	4.99423	2.12837	3.20917	6.15442	6.60116	3.01795	3.40995	2.58067	1.56195	1.67395	2.45448	2.94037	2.1291
100002254	4.2646	0.7423	10.7037	0.8509	2.2357	0.5838	1.1951	0.845	1.7347	5.2059	2.9356	1.9295	1.8154	0.8801	0.9506	0.9156	2.6099	4.3779	3.2622	0.7417	0.922	1.078	4.1136	0.8666	10.8219	0.717	2.5736	0.5846	1.7809	0.8541	1.2635	2.4042	2.477	0.8549	0.8952	0.9911	6.6579	0.8391	2.8632	1.0816	1.4996	0.9403	1.8398	0.5992	1.4046	1.9931	0.518	1.1301	3.4818	1.4184	5.5096	0.6898	4.4185	1.255	7.1113	0.7928	2.6569	4.9121	11.0413	2.2936	1.6065	2.3449	18.6085	5.2039	6.4114	1.637	3.0069	0.9197	1.8705	0.4873	0.7889	0.8188	1.2175	3.7238	0.6506	1.9091	1.8315	1.5444	16.4726	0.7273	1.2939	0.6585	3.8012	0.7944	4.534	0.7375	1.0742	1.7851	1.771	1.9608	1.1007	0.697	3.4575	0.7982	5.6855	0.6136	2.1096	0.653	0.7918	0.9264	0.8352	0.6473	2.2934	0.705	1.4392	0.6698	1.2352	0.6956	0.7573	0.9207	0.5272	0.6082	0.8911	0.878	1.0089	0.9057	0.7497	0.8344	0.8673	0.7879	0.8469	0.6274	0.9384	0.8074	0.7626	0.8404
466	1.4375	0.8057	1.9503	0.9802	0.4009	0.5199	0.7025	0.3211	0.551	0.5974	0.3179	0.6946	0.8284	0.8619	1.0072	0.9891	0.976	1.2724	0.8192	1.4013	0.5428	0.4761	0.396	1.7177	0.5094	0.4606	0.6665	1.1164	3.2696	1.6193	0.7683	1.1483	0.3022	0.7694	1.5325	1.2286	0.7055	0.6186	0.4122	0.4832	0.9273	0.8581	0.6107	0.7552	0.6765	0.7013	0.4339	1.3434	0.5483	3.2694	0.6209	0.8232	0.2946	0.3077	1.52	1.6388	1.4245	1.4702	0.3691	2.3987	1.6787	1.5778	0.9141	1.2091	1.1703	0.7518	1.8269	2.3383	0.8521	1.1841	1.8385	2.4806	1.3681	11.1504	1.2638	1.7235	0.5658	1.3221	1.0057	0.3464	11.6587	0.5499	0.9882	0.9928	1.275	1.8189	0.449	0.5363	0.7772	1.03	0.5175	1.6751	1.5809	0.4944	1.1251	0.7413	0.9155	1.1322	1.8519	1.4572	1.1701	1.907	0.7367	0.6627	0.3096	0.8332	2.0685	1.0632	0.4405	1.3705	1.2526	1.0201	0.9707	3.7411	1.51	1.7138	1.504	0.5087	1.0148	1.9232	2.193	0.7054	2.5641	2.9643	1.2597	1.0789
565	1.1514	0.939	1.2451	1.2811	1.1338	1.1957	0.7328	0.498	0.8931	1.0509	0.672	0.7247	1.0624	0.9927	1.1512	1.0151	1.0047	1.1974	0.9082	1.2013	1.1173	1.6494	1.2156	1.4497	0.7942	0.7622	1.1343	0.7727	0.7843	0.8328	1.1935	1.1451	0.7729	0.8985	1.0423	0.9749	0.9031	1.0235	1.1752	1.1716	0.8655	0.8455	0.8911	0.8733	0.8198	0.9724	0.7033	0.6683	1.1666	0.9396	1.1664	1.2752	0.7238	0.817	1.1442	1.159	0.4807	0.5572	1.0715	0.9632	1.0794	0.9758	0.9792	0.9086	0.8899	1.1151	0.9698	0.8719	0.8709	0.8988	1.1426	1.1801	0.9736	0.9583	0.812	1.4058	1.04	1.1394	1.2124	1.4043	0.862	0.9718	0.9681	1.1724	0.8665	1.0583	1.0597	1.0948	0.8766	1.0529	0.7311	0.7994	0.9953	1.1251	0.7734	0.7038	1.1042	0.9377	0.939	1.114	1.2482	1.0586	1.1637	1.1569	1.083	1.1596	0.9337	1.0456	0.45	0.5172	1.2533	0.7648	0.7338	0.9821	1.4494	0.9443	0.9197	0.7623	1.1415	1.174	1.0166	0.9283	1.0597	1.1123	1.0058	1.0184
100020546	3.1064	3.6732	0.9929	1.5101	1.0475	1.186	2.872	2.3483	3.9485	4.8826	0.0881	0.1538	5.877	5.9659	0.6881	0.7667	9.1172	7.03	0.3167	0.0881	0.1791	0.1539	0.2165	0.2352	0.6127	0.2588	1.2919	1.1822	0.1201	0.1707	0.5024	0.5508	2.9248	3.4764	0.2433	0.2407	0.8091	1.1444	1.1668	0.7574	0.3332	0.3166	0.2458	0.2343	1.0919	1.0129	1.0278	0.9817	1.3712	0.4327	0.2815	0.2566	4.7655	6.0941	0.7098	0.8312	0.4287	0.3758	0.2953	0.2974	2.3008	2.2971	0.2581	0.3796	1.0647	1.0232	0.7252	0.6826	0.2289	0.2566	1.9707	2.1929	1.8184	1.5725	0.0881	0.0881	0.4047	0.4089	3.4254	2.8004	0.5882	0.3871	1.0539	1.3125	1.0982	0.9417	0.4521	0.4756	1.5347	1.5921	0.7992	0.2631	0.6511	0.751	0.1669	0.1437	1.0183	1.394	0.6311	0.6901	2.1554	1.2584	2.7235	2.4046	3.4942	3.07	1.1496	1.3783	0.1279	0.0936	0.21	0.1556	1.0071	0.5371	1.3611	1.2915	1.6464	0.0881	2.1366	2.4317	1.9558	0.8939	0.9299	1.4759	3.0758	4.2195
100001254	1.9405	1.5269	1.2196	1.0602	0.9178	0.9168	0.6465	0.5345	1.1062	0.792	0.5075	0.885	1.5791	1.5543	1.2692	1.1566	0.9952	1.3362	0.895	1.1495	1.0668	1.1837	1.1769	1.4265	0.9645	0.7344	1.1747	0.6851	0.7054	1.0891	1.1799	1.3325	0.9338	0.9452	0.723	0.8825	1.4137	1.0354	1.2765	1.2107	1.0048	1.1608	0.7352	0.8751	0.9677	1.4158	1.4853	1.8074	1.0482	0.8468	1.4486	1.3799	1.3008	1.5455	0.9902	0.6134	0.5782	0.6086	1.016	1.016	1.7224	1.4361	1.0741	0.8716	0.7482	1.2272	1.4857	1.0274	2.1496	2.824	0.9748	1.0625	0.745	0.7691	0.8204	1.4194	0.6146	0.5913	1.0225	1.3508	0.8106	1.3475	0.9375	1.0917	0.9142	1.0046	0.5188	1.1017	0.9948	0.9954	0.3901	0.6129	1.0382	1.4944	0.8369	0.9524	1.1736	1.0071	1.0603	1.3553	0.9729	0.9571	0.9114	1.0183	1.0926	0.9514	0.9059	0.8097	0.5597	0.7508	0.9939	0.9235	0.7224	0.6905	1.2906	0.8499	0.7292	0.7259	0.9741	0.8948	1.0058	1.0312	1.1506	1.0894	0.8493	1.1287
100004414	0.7852	1.0716	0.9424	0.5854	0.6162	0.8858	0.5725	0.5557	0.7776	0.5948	0.1759	0.4722	0.646	0.7693	0.7786	0.6927	0.8533	1.006	1.2478	1.2997	1.4406	1.1815	0.5418	1.6196	0.2609	0.3211	0.8193	0.7931	1.6617	0.9597	1.2635	1.434	0.8338	0.7018	1.3706	1.3705	2.5769	1.2598	1.4205	1.3654	1.7763	1.303	0.7696	0.7134	1.1178	0.7712	0.833	1.0024	0.6155	2.4297	0.5781	1.0944	0.3243	0.4454	0.9976	1.1598	0.7979	1.5531	1.3103	4.0248	1.2639	1.8051	1.2089	1.2784	0.5054	0.7408	1.5345	1.1695	1.0426	1.0625	2.1181	1.7567	1.0494	5.0526	0.7075	1.3112	3.939	4.8832	1.1554	0.5188	8.0784	1.2418	0.9741	1.6255	0.5502	0.8389	1.1965	0.779	1.6115	1.0157	0.7681	1.1207	1.1552	0.6821	0.7824	0.6747	0.8542	0.8823	0.8395	0.8613	0.7697	1.3136	0.6669	0.603	0.4098	1.5696	1.2326	0.9948	0.32	0.6	1.4279	1.1505	0.994	5.6815	1.3728	1.2418	1.4356	0.7212	0.53	1.5808	1.6507	0.582	1.5903	2.155	0.7042	0.5762
100004575	2.7939	2.7183	0.6886	1.0088	0.6379	0.5189	3.1159	2.477	1.292	0.8853	0.1351	0.1351	1.2223	2.5905	1.4343	1.2755	2.9081	1.4135	0.6508	0.6528	1.0292	1.2818	1.1666	0.9064	1.4181	1.7229	0.8631	0.8485	0.8825	1.0266	0.8957	1.3353	1.3531	2.0482	0.3107	0.4299	1.489	1.9172	0.6861	0.1351	0.9803	1.0639	1.4239	1.3018	0.9778	0.633	1.0595	0.8219	1.158	0.8148	0.9466	0.5011	1.4901	1.2036	1.0598	1.6494	1.1504	0.7936	0.9726	1.0288	1.0922	0.8556	0.9548	1.3646	0.8132	1.1588	1.1087	0.7673	0.727	1.0333	2.8773	2.7445	0.1351	0.6306	0.3758	1	0.1351	0.3534	1.3083	1.2352	0.4058	0.6904	0.4434	0.3567	0.987	1.3068	0.5111	0.5924	0.9932	1.0456	0.9912	0.7627	1.2187	0.8717	0.8853	0.6598	0.9274	1.0847	0.6604	0.9285	1.4013	1.2286	1.7875	2.0495	2.3841	1.7185	0.511	0.5835	0.8904	1.6462	0.5009	0.2745	0.2802	0.1351	0.9452	0.4586	0.7494	0.8014	0.3953	0.8663	0.6699	1.4004	2.7932	2.9439	0.4574	1.012
100001092	2.6548	1.4426	0.3553	0.1889	1.5706	1.0563	0.1368	0.8559	2.3907	1.6146	0.1142	0.0338	1.4645	2.4561	3.6736	0.7899	0.3356	0.2253	2.6842	1.5664	0.7018	0.465	0.5433	0.4477	2.9265	1.3686	1.5781	0.4204	0.2054	0.598	2.7614	1.5173	4.1422	4.0461	5.4975	2.8815	1.0003	0.6482	1.653	4.4281	0.318	0.2219	1.0039	0.6148	1.8313	2.7575	2.1625	1.1596	0.9912	1.7626	0.9961	0.6886	3.7265	4.1986	0.424	0.5095	0.2473	0.9812	0.5005	1.5256	4.0476	4.988	2.4403	0.5561	0.5604	0.2734	2.8317	1.4917	0.1527	0.2549	0.5653	0.2153	1.2796	1.1636	1.0448	1.2621	0.3867	0.7323	1.0681	0.2025	4.2909	6.4799	1.1291	1.5478	0.0769	0.1132	0.2508	0.1282	2.8031	2.5553	0.364	0.256	1.8566	1.0452	0.1339	0.0598	0.3782	0.4405	0.5012	0.9029	2.7122	2.0235	0.3978	0.1405	1.0941	0.9997	1.3738	1.1288	0.0813	0.1058	1.4139	1.4116	0.0519	0.052	2.2786	0.8498	0.1307	0.147	2.9496	0.6488	2.1956	2.0695	1.498	1.2991	0.8689	0.3565
100001266	1.6036	1.4743	0.7388	0.9745	1	1.1233	1.2251	1.374	1.1857	1.4383	0.1505	0.3579	0.9823	0.9516	1.6945	1.2814	1.5005	1.2952	0.6773	0.7347	1	0.6713	1.0111	0.8883	0.7199	0.7379	0.7219	0.7032	0.627	0.7647	0.8091	0.7753	1.4959	1.1585	0.4379	0.445	1.0801	1.2315	0.8112	0.5073	0.5336	0.6886	1.0482	0.7924	0.7091	0.607	0.7922	1.2675	0.7926	0.6716	0.8227	0.66	1.7662	1.7607	1.1438	1.23	1.0217	0.9476	1.1612	0.8206	1.1462	1.0546	0.5959	1.1448	0.6983	0.7885	1.2298	1.1109	1.1336	1.732	1.5856	1.8088	0.8322	0.649	0.4131	0.4447	0.2655	0.4336	1.2457	1.024	0.8203	1.0903	0.7103	0.6876	1.0913	1.0978	0.9369	1.1418	1.2467	1.0103	0.6368	0.7262	1.5254	1.2753	0.6473	0.3881	0.6247	0.8269	0.9509	1.2758	1.4448	1.1504	1.1158	1.3634	2.0047	1.9173	0.9583	0.8488	0.9678	0.403	0.5838	0.4227	0.5556	0.259	1.4316	0.9193	0.8935	0.1505	1.2823	1.2943	0.8816	1.3036	1.5087	1.8302	1.0217	1.5473
