	temp_0001	temp_0002	temp_0003	temp_0004	temp_0005	temp_0006	temp_0007	temp_0008	temp_0009	temp_0010	temp_0011	temp_0012	temp_0013	temp_0014	temp_0015	temp_0016	temp_0017	temp_0018	temp_0019	temp_0020	temp_0021	temp_0022	temp_0023	temp_0024	temp_0025	temp_0026	temp_0027	temp_0028	temp_0029	temp_0030	temp_0031	temp_0032	temp_0033	temp_0034	temp_0035	temp_0036	temp_0037	temp_0038	temp_0039	temp_0040	temp_0041	temp_0042	temp_0043	temp_0044	temp_0045	temp_0046	temp_0049	temp_0050	temp_0051	temp_0052	temp_0053	temp_0054	temp_0055	temp_0056	temp_0057	temp_0058	temp_0059	temp_0060	temp_0061	temp_0062	temp_0063	temp_0064	temp_0065	temp_0066	temp_0067	temp_0068	temp_0069	temp_0070	temp_0071	temp_0072	temp_0073	temp_0074	temp_0075	temp_0076	temp_0077	temp_0078	temp_0079	temp_0080	temp_0081	temp_0082	temp_0083	temp_0084	temp_0085	temp_0086	temp_0087	temp_0088	temp_0089	temp_0090	temp_0091	temp_0092	temp_0093	temp_0094	temp_0095	temp_0096	temp_0097	temp_0098	temp_0099	temp_0100	temp_0101	temp_0102	temp_0103	temp_0104	temp_0105	temp_0106	temp_0107	temp_0108	temp_0109	temp_0110	temp_0111	temp_0112	temp_0113	temp_0114	temp_0115	temp_0116	temp_0117	temp_0118	temp_0119	temp_0120	temp_0121	temp_0122	temp_0123	temp_0124	temp_0125	temp_0126	temp_0127	temp_0128
100002911	1.6174	0.9193	1.3136	3.3806	0.3923	2.5219	0.185	0.9817	3.0273	0.7122	1.3268	6.2001	0.0758	0.1712	1.1398	1.1401	2.1888	6.3351	7.2166	3.8373	0.6111	0.585	1.7039	1.2885	0.9256	0.5996	1.7504	1.4627	0.243	0.2864	3.579	3.2518	9.5801	2.1137	4.693	3.2913	1.5414	1.5209	1.4374	1.4723	0.0696	0.1358	4.0109	11.7071	11.3692	8.075	7.3387	1.6776	1.841	4.5892	0.3217	0.3777	0.0278	0.2984	0.342	1.9361	2.0138	0.6332	2.4561	0.4279	0.2709	0.0472	0.7364	1.4264	14.2722	11.0092	1.9496	5.527	0.399	0.4666	15.3115	9.3127	0.0438	0.0785	50.3849	6.9035	0.407	0.0648	1.2158	0.4696	1.6093	0.5814	0.7111	0.7272	0.268	0.3448	0.4593	0.2975	0.331	1.5065	0.6565	0.4501	0.4516	2.2597	1.992	2.1409	0.124	2.5049	0.0259	0.0137	0.2831	0.0841	1.3961	2.0892	4.688	0.9399	0.8862	1.6303	3.7732	1.7264	0.7177	0.9454	0.232	0.5267	2.8075	0.6456	0.5722	0.259	0.3071	0.1313	9.0553	1.0183	2.9641	0.2494	0.395	0.3848
1489	5.8065	0.531	7.5976	0.475	2.7211	0.4712	1.349	0.6645	1.4675	4.7953	3.385	3.1055	1.4436	0.3878	0.6763	0.6104	2.1649	9.4747	4.3122	0.7766	0.8376	1.0441	6.2479	1.4328	5.5158	0.7858	3.7438	0.391	1.4487	0.4394	1.6241	3.1086	2.7113	0.4764	0.5714	0.9615	11.8526	0.7852	3.5602	1.3513	1.9951	0.484	3.6148	0.9584	1.9907	3.1468	2.6707	1.8325	6.3001	0.4506	4.6111	1.2375	9.5527	0.6498	1.9837	5.3251	13.199	5.9344	1.7757	3.9611	20.131	9.8791	5.2593	1.8413	2.4758	0.8691	2.5329	0.4102	0.8983	0.4904	0.8272	13.8616	0.5485	1.71	2.1656	0.8316	1.6483	1.4037	17.3745	0.4463	5.7321	0.3924	7.095	0.4991	7.9939	0.4036	0.6144	2.2816	1.8939	2.9455	1.0147	0.3143	4.6144	0.8319	5.6681	0.3802	4.2256	0.5784	0.7498	0.8307	0.6211	0.4573	2.6916	0.4036	0.9853	0.4602	1.0416	0.5369	0.5041	0.6097	0.3232	0.4493	0.6627	1.9018	1.2729	0.7716	0.5893	0.7133	0.4746	2.0535	0.557	0.3108	0.9154	0.7161	0.7638	0.6036
100006082	1.3079	1.3642	1.1104	2.0633	0.6575	0.6543	0.3509	0.9468	0.3601	0.5895	1.0538	1.1568	0.6732	0.7706	0.9613	0.7244	0.8691	1.0271	0.9077	1.1803	1.1371	0.9934	1.3317	1.6204	0.6516	0.8285	0.9707	1.1541	0.7433	0.7293	1.1365	1.1405	1.0257	0.7867	0.9866	1.2078	1	1.0247	0.933	1.0518	1.6289	1.4548	1.9659	2.5032	0.9346	0.8929	2.2933	3.5145	1.0916	0.9909	1.0586	1.064	0.4085	0.5092	1.0066	1.1092	0.766	1.0575	1.0136	0.9698	0.8873	1.1958	1.2443	0.714	1.2935	0.9423	0.9567	0.9006	1.2977	1.5361	1.911	4.1955	1.365	1.0575	0.8897	0.7918	0.9262	0.8812	1.0742	0.8973	1.3764	0.8347	0.9385	0.7774	0.7076	0.776	0.686	0.7156	1.1379	0.8186	1.1976	0.5379	1.5624	1.0594	0.3026	0.3071	0.466	0.6219	0.9155	0.7763	1.2238	1.2106	1.0411	1.2226	1.6725	1.7098	1.5852	1.4989	0.7091	1.1512	0.8869	0.958	0.7754	1.211	0.2731	0.5499	1.0518	0.9638	0.9412	1.2176	0.8978	0.8736	1.2131	1.1064	0.859	0.5068
100001624	7.518	5.221	1.0292	1.6897	7.2482	0.2433	0.133	0.1115	1.0245	0.1343	0.107	0.3269	0.7902	1.7577	0.9595	1.5969	2.2013	2.0324	1.189	0.7323	0.8178	0.5972	1.3784	0.555	0.4627	0.3259	2.7181	0.5975	0.1776	0.3719	0.9306	1.9777	4.0557	3.7411	11.3205	4.8716	3.2557	1.9425	10.74	3.1378	0.0775	0.0775	0.0775	2.4131	2.8086	1.9426	1.1574	1.2684	0.2847	2.4278	3.0429	0.7925	0.9837	0.8683	0.3373	0.5138	0.6338	0.5637	1.8501	3.3528	0.4733	0.3016	0.2821	0.3329	1.5751	1.5421	2.2505	1.0107	2.3021	1.9145	1	0.2083	2.3368	2.274	1.1555	2.0803	0.9313	1.0948	0.3467	0.1754	0.4666	0.187	1.0144	0.4168	0.5399	0.1504	0.6998	0.0775	3.227	5.1933	2.1555	1.6862	4.0411	7.3707	1.7347	1.6871	0.9821	2.2025	0.0775	0.0869	3.4768	0.2193	0.5234	0.351	0.4261	0.838	0.8948	2.6138	0.9273	0.7633	2.1682	0.3675	0.0775	0.0775	4.0876	0.7333	0.0775	0.0775	4.7332	0.2495	7.6253	3.5799	1.0542	0.1345	0.2071	0.4092
100001104	2.3718	1.4633	1.1518	0.848	0.8064	0.8661	0.7896	1.0548	2.2103	1.4241	0.356	0.5145	1.7932	1.5012	1.0473	0.964	1.0403	1.0918	0.679	0.9339	1.1655	0.9281	1.201	1.084	0.9263	1.471	0.8744	0.9018	0.739	1.2689	0.8428	0.7213	0.9665	0.8546	0.7414	0.623	1.7253	1.8553	1.0033	0.8675	1.1156	1.107	0.3401	0.8335	0.8041	1.6675	0.8992	1.0545	1.0553	1.4531	1.4504	1.4155	0.9679	0.9531	1.1468	1.0879	0.8352	0.8332	2.4203	1.751	0.944	0.7949	0.4354	0.7744	1.6506	1.6406	1.1952	2.7228	1.6385	1.9483	0.5727	0.8045	0.4611	0.9309	1.0798	1.0037	0.5059	0.5785	1.2146	1.331	0.8143	1.0264	0.8628	1.2024	1.1637	1.0149	0.9092	1.0484	0.8734	1.0046	0.9041	0.8755	1.3694	1.6781	0.9967	0.9332	1.0161	0.9116	1.0434	0.9963	1.2084	1.2653	1.0103	1.0433	0.8564	0.7935	0.8316	0.6433	1.344	0.6468	0.952	0.6369	0.8953	0.5183	2.0826	0.9123	1.4427	0.9676	0.8658	0.9864	1.0118	0.9513	1.3596	1.006	0.7673	1.1671
100020866	4.2787	4.7451	1.7638	1.4401	0.9498	0.9348	0.3601	2.106	0.9416	0.9965	1.4838	1.0072	0.3184	0.5586	3.7393	3.3689	2.3407	1.6404	0.8663	0.9233	0.3632	0.8808	0.0722	0.0722	6.0494	1.2598	0.5513	0.3556	0.6579	1.9967	0.2759	0.2428	1.362	1.4043	0.2731	0.2902	2.3239	1.5682	1.4689	1.8393	0.2018	0.2982	1.4627	0.8766	2.209	2.1407	1.3269	1.9789	2.3232	2.6581	0.7501	0.8203	0.6157	0.0722	1.1985	2.361	1.4404	0.6213	0.1688	0.5239	1.419	0.9365	1.5669	0.9479	1.4332	0.0722	1.6887	3.1927	0.8756	0.9973	0.4344	0.4032	0.9097	1.3799	1.2871	1.3973	0.4573	0.2981	1.5536	0.5358	0.1831	1.0584	0.5301	0.6725	0.4695	1.0012	1.4074	1.1604	0.5834	1.3827	1.0731	1.7534	1.7643	1.2846	0.3097	0.4451	1	0.3458	0.8369	1.3278	0.4693	1.2853	1.9024	1.7497	0.8642	0.6239	1.1447	0.5271	0.5601	1.2577	0.0722	0.0722	0.1814	0.5775	0.7587	1.0829	2.4193	1.0611	0.3641	0.1097	1.0097	1.0961	0.5504	0.0722	1.01	1.6075
100003696	1.4805	1.4976	0.9173	1.5606	0.9269	0.9267	1.2107	0.5831	0.6564	1.9042	0.4293	0.5214	0.5443	1.4089	0.6933	0.8531	1.378	2.029	1.0516	1.0291	1.2949	1.5406	0.9149	1.1491	0.717	1.0495	0.9863	0.9081	0.8562	0.6252	2.1903	1.0463	0.841	0.6563	1.3682	2.3333	1.2675	1.0481	1.4533	1.2597	1.8699	1.1011	0.6949	1.1773	0.6593	0.5774	1.4111	0.7868	0.7805	0.9545	0.6452	0.5084	1.591	1.7134	0.9681	0.8101	0.5537	0.5643	1.1125	1.4846	0.7817	1.553	1.2678	2.0827	1.3408	0.9958	0.9219	0.7622	1.2143	1.1394	2.58	1.0221	0.4923	0.7664	0.7235	1.3132	0.779	1.3566	1.5217	1.0383	1.0401	0.6493	0.4976	0.8048	0.967	1.0042	1.1999	1.3308	0.9616	2.153	1.2684	1.0271	0.8245	1.3204	0.918	0.4662	0.8341	1.3091	0.854	0.9779	3.1774	1.5808	2.2936	1.46	0.6929	0.9481	0.9058	1.3338	0.8281	0.9957	0.8363	0.6925	0.8311	0.8656	0.5707	1.1792	0.5781	0.9285	0.8024	1.0043	0.8043	1.0543	1.116	1.7862	1.3083	0.965
100001510	2.8148	2.6375	0.7221	1.4132	0.9553	1.5982	1.1737	0.5683	1.081	1.5786	1.562	7.2788	2.0666	1.2935	7.8876	1.6671	1.2846	1.3704	0.6099	0.5473	0.4618	0.5751	2.5343	1.5792	0.5815	0.7561	1.4631	0.9181	2.4266	0.7552	0.9746	0.9917	0.8566	1.0866	1.7805	1.7039	0.9441	1.1583	1.8639	0.8399	0.3139	1.1286	2.2328	2.5644	1.0281	0.2429	4.2985	0.0873	1.5949	2.543	0.732	0.9648	1.2358	0.7368	0.4484	0.5101	1.553	1.1451	0.4549	2.5456	1.1338	1.6209	1.0988	1.81	1.1035	0.3827	1.3547	0.9929	1.8263	2.3926	0.4906	0.3249	0.541	0.6428	1.1091	4.2191	0.5672	1.2041	0.7937	1.2395	0.5038	0.8952	0.5344	0.5027	0.4674	0.3776	0.7187	0.4503	1.0928	1.1814	0.2946	0.4305	1.2407	1.5474	1.2712	1.3113	2.6927	4.3728	0.4736	1.457	1.2086	0.6156	0.6529	0.8244	1.0457	1.6881	0.721	1.0809	0.3618	0.8241	1.003	0.5348	1.2604	1.3283	0.3	0.1677	1.0083	0.427	2.645	0.4468	2.055	1.9758	0.6474	0.856	0.5648	0.5394
100001767	1.5577	0.8981	3.1478	0.5696	1.2109	0.3697	0.3766	0.4058	0.8765	0.4748	0.5159	0.5794	0.7301	1.0221	1.7767	1.6454	0.8525	0.6261	0.4944	0.7152	0.8169	0.5982	1.3106	1.1452	2.3008	0.3038	1.8607	2.4909	1.6992	5.588	0.1042	0.7766	2.3275	0.8928	1.1141	0.9786	0.7027	0.4218	2.6077	2.1915	0.579	0.2778	0.5811	0.4671	0.881	1.0318	0.1468	5.1631	0.5166	1.1218	0.3173	1.2987	0.1505	0.4083	0.2931	1.2368	3.1403	0.6171	1.6636	1.4272	0.4715	0.1738	0.5509	4.0472	1.2677	2.1723	0.7469	0.8318	1.5002	0.7203	1.0285	0.5157	0.8232	1.9419	3.8014	0.547	1.3515	1.9517	0.8251	0.622	0.4648	2.243	1.4268	1.2867	1.8883	3.1002	1	1.6613	1.3662	2.6102	1.0118	1.7364	2.1237	2.1201	0.2099	0.3836	1.03	0.898	0.6916	0.3512	1.3161	0.7752	1.7767	0.5079	2.8725	0.9615	5.6914	1.0193	1.054	0.4845	4.8829	1.5278	1.1373	0.1042	1.1469	0.7619	2.1824	0.5038	2.6713	0.3053	3.4338	2.7631	0.4939	0.1741	0.3031	0.3753
171	0.0243	0.2159	0.1789	0.439	0.1584	1.0086	0.8097	1.5413	0.6536	0.8729	1.3975	1.6973	0.3643	0.4129	0.5009	1.4394	1.0236	1.3815	1.7908	2.665	0.4223	0.2558	1.695	1.3254	1.333	1.6102	1.2418	0.5792	1.3084	1.5308	1.1984	1.373	1.0957	1.6282	0.7301	1.03	0.4833	0.4327	1.158	0.0918	0.8005	0.3405	1.2021	0.3117	0.8524	1.1122	1.1846	1.1417	0.6097	0.7206	0.9764	1.628	0.2831	0.7082	1.2337	1.6647	0.6748	0.7672	0.6122	1.5865	0.8612	1.1006	0.6195	0.1311	0.5829	1.2082	0.3555	1.3085	0.2825	0.6405	0.1232	1.1657	1.4666	2.1212	0.5745	0.4739	1.198	1.145	0.6834	1.3869	0.6703	0.7813	0.4472	0.5691	1.2317	1.6426	0.9666	0.1832	0.9929	1.6216	0.7678	0.6471	0.781	0.4176	1.1926	0.6088	1.4333	1.0071	1.8878	2.6315	1.4946	1.3807	0.1211	1.3485	1.1633	0.4907	0.5463	0.7009	1.6432	1.8953	1.0698	1.1572	1.1476	1.3401	1.764	2.0763	2.0595	0.7327	0.2387	1.2337	0.5832	0.6753	1.2459	1.4054	0.9458	1.2027
