chemID	MTX_LRM	MTX_MIX1	MTX_MIX2	csDMARD_LRM	csDMARD_MIX1	csDMARD_MIX2	TNFi_LRM	TNFi_MIX1	TNFi_MIX2	nTNFi_LRM	nTNFi_MIX1	nTNFi_MIX2	pred_LRM	pred_MIX1	pred_MIX2
100002254	0.80101771030925	0.794536104249339	0.884760103674358	0.12723987722409	0.128984908044601	0.205329488301778	0.499483618525836	0.501283003824751	0.465919045170339	0.587489075994489	0.584662304666745	0.844367364534196	0.145764473792465	0.145764473792502	0.323178261848884	
100000257	0.95153939669421	0.712807790608849	0.667531249362687	0.379730080608208	0.366942542452916	0.374601795542998	0.442121209960215	0.0574643288626088	0.0600339715996873	0.446253938794257	0.525409705547836	0.476298219639523	0.116021979620061	0.227349320216061	0.232986673111803	
100001620	0.557969416655801	0.567781686065736	0.403161538288757	0.519190839062218	0.554215572987207	0.464533227527405	0.121497952305405	0.198928018862673	0.157193824099903	0.28860375150502	0.4837404781572	0.337414552301736	0.926599634183741	0.981392262229422	0.833676199704447	
565	0.133841077971226	0.472642914870305	0.495556248575085	0.356244124811658	0.496099233916339	0.535936474444096	0.552801960924054	0.968303961736124	0.945504535875094	0.000324233115542373	0.00242594246823263	0.00248970224388714	0.381850991300415	0.552812609563838	0.62266377263197	
100020546	0.425189614031804	0.0694065466963831	0.0551448338671041	0.794272346672341	0.842562568552436	0.789941754371913	0.575680830722786	0.471842875964559	0.463275356879335	0.0190086168348844	0.22037732004507	0.162369341919142	0.00581096813914787	0.0367528130297808	0.0222047139707926	
100001254	0.884024227860739	0.955340027058726	0.862737386391885	0.0763553145977721	0.208292816335009	0.154821406043657	0.243053303906384	0.262656039812838	0.195321435817285	0.916533412477971	0.750401354858933	0.824159827575563	0.244748041709194	0.376661876537814	0.247256284699838	
100004575	0.713553690865975	0.940764085018847	0.883194955084429	0.857174015831105	0.744016863543312	0.891733464902916	0.0490478530252805	0.592970752677815	0.750347980284486	0.376697420229952	0.0994509444216593	0.0812428590748037	0.0561846433983104	0.32257614537913	0.13342366703888	
100001092	0.169800883781979	0.698475407877104	0.742149410152515	0.760499236222527	0.934732151861879	0.938905500044763	0.0798823256979641	0.620278560888773	0.655549121841832	0.853783973367528	0.899146562178893	0.874828681627838	0.530430496050688	0.951222985073421	0.944629229780484	
100003151	0.0300837686949625	0.0469512668415828	0.0174620505672765	0.0824796358613688	0.0635793606763286	0.0483638595228284	0.318240056558954	0.547448135108954	0.723335051357712	0.611407754176228	0.517932271194704	0.340660508549916	0.252654832976433	0.0578596367411562	0.0379088359702069	
803	0.0036333378703819	0.0386911021382089	0.0389079090918027	0.518155895606454	0.853926216252512	0.819695977106144	0.198446182548217	0.579146376003557	0.690409625953352	0.000315008064652032	0.0147473112968042	0.0153206277420858	0.75839569481552	0.571497954298519	0.634121755600902	
796	0.813500793324881	0.921681078803121	0.9999212235962	0.553659888555107	0.606713961494085	0.591986482873798	0.165765929829267	0.250194042296932	0.215646604671104	0.0573940965885532	0.0735872019905273	0.0593589485098111	0.445851232030434	0.307423781370888	0.271535761212429	
100001266	0.685589115541472	0.935680165614208	0.873459645768895	0.784412949938523	0.718867120388929	0.629218920263698	0.415023788908117	0.336594837719651	0.437083325771751	0.542632746280537	0.149570900908948	0.17292629093558	0.00681004248243289	0.0039657850244292	0.00132998387381284	
415	0.731824209056929	0.770569941061531	0.627137855148149	0.354968739916855	0.630501008149206	0.742508944934168	0.562529053675455	0.586511147003433	0.540881032586852	0.0492404510580405	0.0554997757685318	0.0748793823713284	0.481417965394575	0.585299419529793	0.769273278787624	
100008933	0.554048560417829	0.479088452260541	0.339011639048381	0.532862782585906	0.582415185851756	0.509268422185579	0.818592706756738	0.739283125638533	0.822038834505611	0.25675220503704	0.276252690469421	0.185900251979058	0.832277142852368	0.711384447470545	0.562842380739473	
100020425	0.140920058346787	0.309724881051452	0.307438047984694	0.238203164410978	0.240476943567176	0.317859983415661	0.019856863616392	0.0522888315135537	0.0955414367333089	0.0483478954234353	0.148132359276191	0.111950402214102	0.916132684869109	0.474520690717608	0.744504116221141	
503	0.757158405981398	0.891785464268089	0.735882042327585	0.379544651271533	0.416296192543948	0.522241162840463	0.0385275933150328	0.0796391724364916	0.091608125915577	0.0180885527259651	0.111044662666402	0.0641732164027769	0.11721229678944	0.123908435695179	0.210574167379191	
100020427	0.0440618921509949	0.112621164609165	0.0864122860586751	0.174858397916196	0.154965138809233	0.193582468339927	0.020197046925635	0.0752753160445205	0.148071841034436	0.0381904771701808	0.0748789292534754	0.0711494939405643	0.813379598009701	0.327847715071046	0.495532793827118	
1090	0.088615679337231	0.45767094517033	0.425388697323379	0.251840233127163	0.371599176681255	0.41310351418846	0.179013247938175	0.579488913301172	0.7645656033987	0.31632141344825	0.266185997720511	0.239993761889135	0.407453061965022	0.188327602340435	0.140447912185372	
100001051	0.933707388935998	0.950988775519705	0.966463849707298	0.499015587364759	0.645220772696884	0.708158292837972	0.22185672068918	0.934326971900262	0.779578167438556	0.464600911910285	0.525555985996878	0.577146285491286	0.195166737568231	0.780830430451647	0.561983309783691	
100000776	0.00556866479508289	0.0168135879816419	0.00781606248928118	0.562131564486289	0.967730937524076	0.868924668619602	0.0474815540546004	0.132150912751109	0.145397647497504	0.0526946617619855	0.057018098064681	0.0338897406300476	0.63712948821918	0.428286700281697	0.318521613343343	
100001253	0.856556296631079	0.877487285464883	0.762801544164579	0.261726827274281	0.540486255008985	0.572508293047662	0.0168721051362839	0.109522631790583	0.217466397533677	9.28077549751632e-06	0.0012104868673568	0.0011834874081355	0.0125900438880417	0.0106466909256873	0.00516838141192868	
100001257	0.563711062230635	0.935263405414425	0.975216175165857	0.209732297490879	0.721227431216591	0.800336495189072	0.11555854571874	0.790009137981237	0.713018274803745	0.010342446697901	0.1433853642851	0.0880470720732283	0.245901200633942	0.786301462506541	0.53255337390254	
100004088	0.26239113482242	0.202815697879786	0.148638928321177	0.351986778844904	0.410576803786718	0.33512735250497	0.163258022762869	0.448399170716571	0.39340728680138	0.434993678885167	0.60406788911737	0.694784900196226	0.848432801674814	0.648038245534882	0.818750796777459	
100009082	0.505890867570655	0.547711715738122	0.232608809645357	0.121681530410268	0.1734881003153	0.26214482876313	0.40356097684849	0.492901404405736	0.547219847565133	0.846414164598005	0.904256609132083	0.673288789421973	0.0884429962402001	0.0145951470628907	0.0509661145437705	
1162	0.20353311729265	0.85232167203237	0.697811395076883	0.967114679870893	0.272118478466402	0.240835580944287	0.670867705884969	0.528328358132056	0.427964559211128	0.00117162170166481	5.47088645106209e-05	8.67561601874409e-05	0.182007796642775	0.274778012232836	0.239232583416052	
100000096	0.0149666709513769	0.0594034128587383	0.105069463353406	0.545002088703669	0.557764055044096	0.686434478910334	0.247038253749106	0.388044289023283	0.343402937019675	0.167194295085824	0.271444025950322	0.394238896984985	0.232747626467102	0.148566846424861	0.251232066410163	
363	0.403038823185271	0.807191295908049	0.674371183364166	0.668502409417912	0.619550200468425	0.787872670554257	0.0073625661626879	0.271146337474378	0.435222301031258	0.0794204282394886	0.103464583479064	0.0846691000580024	0.410953211941466	0.800223988837757	0.381101006936681	
100002945	0.516127247514939	0.553864087113442	0.738737996895289	0.840099584706712	0.870238665503867	0.785870027730221	0.909862581457956	0.873460436000292	0.995175863836316	0.518458864161283	0.52185610053355	0.679842736428896	0.755169963708623	0.706868275892102	0.563757529042129	
100002466	0.54188364026605	0.694692945272143	0.701555397133369	0.540596440787293	0.733893232495603	0.842140304138971	0.293790519260949	0.462767590312785	0.656830543103306	0.740444577610156	0.523380405708955	0.514671218735762	0.434209954610066	0.313825863839565	0.193628810699549	
100001577	0.0704073896045381	0.0951368146240233	0.153813982302498	0.640051443210677	0.840078847320276	0.986568890351113	0.325184415717335	0.720241375821692	0.703521629783615	0.413244984510969	0.991896419584247	0.775863108967425	0.067468059800538	0.0471615534909515	0.0179755589087507	
100001586	0.620046553616038	0.548288631231425	0.405233296216353	0.562375192447295	0.157342000414535	0.163827887819373	0.000787526319034059	0.000998548571456669	0.00303469003421109	0.00114384611408857	0.0756379969106152	0.0873933540796592	0.0313454909973508	0.94044046354234	0.872739699272435	
